episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
332,270.0,391,204158,0.1,0.16670074140919106,783.7734196249512,True,False
333,500.0,470,204628,0.1,0.15639657175199964,785.4639324169839,True,False
334,540.0,536,205164,0.1,0.14891747746672204,787.3756818749825,True,False
335,450.0,483,205647,0.1,0.13585426832238834,789.1230237499694,True,False
336,1190.0,736,206383,0.1,0.17032669622289098,791.7448437089915,True,False
337,410.0,500,206883,0.1,0.12451474530994892,793.5256172499503,True,False
338,660.0,501,207384,0.1,0.12430283928378708,795.3325844589854,True,False
339,540.0,680,208064,0.1,0.1242529874557958,797.7735922089778,True,False
340,340.0,409,208473,0.1,0.16463387049917205,799.2355435419595,True,False
341,670.0,661,209134,0.1,0.16374821123300176,801.5927896249923,True,False
342,430.0,542,209676,0.1,0.1379010885104756,803.597440124955,True,False
343,730.0,631,210307,0.1,0.12414485268342267,805.8551449999795,True,False
344,850.0,785,211092,0.1,0.15424425599784566,808.6647327090031,True,False
345,1000.0,878,211970,0.1,0.13380306927682875,811.8244474169915,True,False
346,1120.0,840,212810,0.1,0.12190167523388351,814.8191208339995,True,False
347,480.0,436,213246,0.1,0.1320160746642756,816.39633816696,True,False
348,1180.0,576,213822,0.1,0.1274513800550873,818.4749995839666,True,False
349,470.0,557,214379,0.1,0.10752916766209997,820.4588417089544,True,False
350,470.0,505,214884,0.1,0.11352258235744135,822.2884835419827,True,False
351,940.0,825,215709,0.1,0.1086295131747656,826.1261719999602,True,False
352,390.0,493,216202,0.1,0.12616807706956942,827.9386211249512,True,False
353,360.0,409,216611,0.1,0.14826101104856707,829.4208314999705,True,False
354,560.0,536,217147,0.1,0.1394296377869462,831.3250744169927,True,False
355,2360.0,914,218061,0.1,0.11861852863925514,834.5837030839757,True,False
356,420.0,498,218559,0.1,0.14351294628314434,836.3746406249702,True,False
357,390.0,409,218968,0.1,0.12496363783924325,837.8482291669934,True,False
358,910.0,632,219600,0.1,0.1346374756974887,840.0899656249676,True,False
359,1400.0,905,220505,0.1,0.13323804975973558,843.2693258749787,True,False
360,240.0,350,220855,0.1,0.14141960921643795,844.5072622919688,True,False
361,730.0,1014,221869,0.1,0.13563425250820757,848.1756998749916,True,False
362,900.0,716,222585,0.1,0.10998033297211764,850.9867340420024,True,False
363,350.0,360,222945,0.1,0.12681659383492339,852.3523140839534,True,False
364,380.0,443,223388,0.1,0.10668414995611251,853.9977629589848,True,False
365,290.0,341,223729,0.1,0.1415140887393671,855.2414421249996,True,False
366,420.0,438,224167,0.1,0.1511281090147725,856.8152059999993,True,False
367,1270.0,763,224930,0.1,0.16037613875110737,859.5429622089723,True,False
368,320.0,359,225289,0.1,0.152681736027201,860.8639459999977,True,False
369,590.0,568,225857,0.1,0.17200857348425289,862.9499547499581,True,False
370,720.0,770,226627,0.1,0.12679457626654766,865.7182775419788,True,False
371,420.0,544,227171,0.1,0.14938664129551718,867.712053708965,True,False
372,700.0,556,227727,0.1,0.14510916787862993,869.7356631250004,True,False
373,2750.0,924,228651,0.1,0.12377115813974952,873.0697934589698,True,False
374,330.0,429,229080,0.1,0.1203716254396433,874.6276410839637,True,False
375,900.0,790,229870,0.1,0.1284360389324463,877.4533089589677,True,False
376,560.0,613,230483,0.1,0.1494849147092478,880.5959259590018,True,False
377,1390.0,899,231382,0.1,0.12808968141674995,883.8041482499684,True,False
378,760.0,562,231944,0.1,0.10608560819152399,885.809824041964,True,False
379,570.0,538,232482,0.1,0.10984342752385941,887.733223749965,True,False
